번호,제목,작성일,조회수,내용요약,이미지URL,게시글URL
11,12월 네이버 리뷰 이벤트 당첨자 안내,25.01.17,518,24년 12월 네이버 리뷰 이벤트 당첨자 발표,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p2025011796ac0e1be3773
12,초호펜션 초리골빙벽 얼음썰매 이용 안내,24.12.20,772,초리골빙벽 80-90% 완성. 얼음연못 썰매 빙벽 포토존 즐기기,이미지2개,https://choho.imweb.me/admin/contents/post/view?code=p20241220bd95b554d8029
13,초호펜션 예약 시 눈내리는 초리골 눈썰매장 입장권 증정 안내,24.12.13,915,12월20일 눈내리는 초리골 겨울축제 시작. 전용주차장에서 도보2분,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p20241213536bb9333c529
14,초리골빙벽 야간 경관조명 점등 안내,24.12.12,819,초리골빙벽 이번주말 완성 예상. 경관조명 점등시간 17:00-19:00,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p20241212223dffbb15f9a
15,초호쉼터 산타 등장! 빙벽소식,24.12.01,768,산타 대형풍선 설치. 12월20일부터 눈내리는 초리골 겨울축제,이미지2개,https://choho.imweb.me/admin/contents/post/view?code=p20241201ac94bbc07bc74
16,24년 12월 이용고객 무료커피 쿠폰 제공 혜택안내,24.11.27,643,12월 이용고객 초리골164카페 무료 커피쿠폰 제공. 최대4잔,https://cdn.imweb.me/upload/S20210716d8579a0c1e07f/6c80a0c86f932.png,https://choho.imweb.me/admin/contents/post/view?code=p202411277ca3d5f6e19f9
17,초호쉼터 호수뷰 객실 전화예약 안내,24.11.25,646,호수뷰 객실 전화예약 안내,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p20241125485037de68e6a
18,24.11.15 파주독채펜션 초호펜션 객실 재정비 및 이용안내,24.11.15,800,파주독채펜션 객실 재정비 및 이용 안내,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p202411156c71b0e604a01
19,10월 네이버 리뷰 이벤트 당첨자 안내,24.11.15,806,10월 네이버 리뷰 이벤트 당첨자 발표,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p2024111590a4e83da2b2e
20,스트레이키즈 가을운동회 스키즈 코드 초호쉼터 촬영,24.11.01,928,Stray Kids SKZ CODE 초호쉼터 촬영 소식,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p202411012e13a235c62e7
21,초호쉼터 가을 단풍과 러버덕을 만나세요,24.10.18,684,가을 단풍과 러버덕 만나기,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p2024101835e85c7a1f336
22,초호펜션 네이버 예약리뷰 이벤트 - 커피 2잔 무료제공,24.10.11,926,네이버 예약리뷰 작성 시 커피 2잔 무료제공,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p202410114fdb46f9483c7
23,초호쉼터 리뷰 이벤트 - 초리골164카페 초호펜션 이용 후 혜택제공,24.10.02,806,네이버 리뷰 작성 시 혜택 제공 이벤트,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p20241002036b5eb2b145d
24,스트레이키즈 초호쉼터 촬영 소식,24.09.19,715,Celebrity visits Stray Kids 초호쉼터 촬영,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p202409195c73a7cf9ed3d
25,초호쉼터 인증샷 이벤트 - 객실 무료이용권 등,24.09.06,694,인증샷 이벤트 객실 무료이용권 음료이용권 액자제작 선물증정,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p20240906367221d5f47ba
26,초호쉼터 수영장 종료 안내,24.08.26,893,초호쉼터 수영장 종료,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p20240826d48254bc092ab
27,로드다큐 동네방네엔 81회 방송 초호쉼터 촬영,24.08.19,1181,로드다큐 동네방네엔 81회 초호쉼터 촬영,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p20240819906d74f9c6a34
28,초호펜션 여름수영장 시즌오프 안내,24.08.17,1010,여름수영장 시즌오프 8월31일,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p2024081715c23bae74a12
29,호수뷰 객실 객실만 예약 가능일정 안내,24.08.06,844,호수뷰 객실 예약 가능일정 8월20일까지,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p20240806f3b50584277a3
30,초호쉼터 수영장 / 초리골 계곡이용 오픈 안내,24.07.22,1485,수영장 계곡이용 오픈 숯불바베큐 이용 안내,이미지확인필요,https://choho.imweb.me/admin/contents/post/view?code=p202407225cd255d84076c
